ticker,date,news_sentiment,news_impact_score,news_sentiment_std,news_staleness,article_count,financial_health_score,valuation_score,financial_age_months,per,pbr,roe,revenue_growth,debt_ratio,altman_z
247540,2019-04-01,,,,,0.0,7.0,5.0,4.0,39.92822378577617,9.16636641275004,0.22957110393714586,1.0325830939005998,1.892965348410461,4.545394903717296
247540,2019-04-02,-0.0985,3.0,0.0,0.2222,1.0,7.0,5.0,4.0,38.81372561404586,8.910509837129982,0.22957110393714586,1.0325830939005998,1.892965348410461,4.464297832658419
247540,2019-04-03,0.9998,6.0,0.0,0.3256,1.0,7.0,5.0,4.0,40.06090213955359,9.196825528895285,0.22957110393714586,1.0325830939005998,1.892965348410461,4.55504931693859
247540,2019-04-04,,,,,0.0,7.0,5.0,4.0,39.92822378577617,9.16636641275004,0.22957110393714586,1.0325830939005998,1.892965348410461,4.545394903717296
247540,2019-04-05,,,,,0.0,7.0,5.0,4.0,39.076428754525146,8.970818887097568,0.22957110393714586,1.0325830939005998,1.892965348410461,4.483413570836582
247540,2019-04-06,,,,,0.0,7.0,5.0,4.0,39.076428754525146,8.970818887097568,0.22957110393714586,1.0325830939005998,1.892965348410461,4.483413570836582
247540,2019-04-07,,,,,0.0,7.0,5.0,4.0,39.076428754525146,8.970818887097568,0.22957110393714586,1.0325830939005998,1.892965348410461,4.483413570836582
247540,2019-04-08,0.4981,4.0,0.4981,0.1364,2.0,7.0,5.0,4.0,41.63446741535377,9.558070646377892,0.22957110393714586,1.0325830939005998,1.892965348410461,4.669550657743148
247540,2019-04-09,0.9999,6.0,0.0,0.0625,1.0,7.0,5.0,4.0,42.48626244660479,9.753618172030365,0.22957110393714586,1.0325830939005998,1.892965348410461,4.731531990623861
247540,2019-04-10,,,,,0.0,7.0,5.0,4.0,43.404396654744524,9.964395255755461,0.22957110393714586,1.0325830939005998,1.892965348410461,4.7983405301152215
247540,2019-04-11,,,,,0.0,7.0,5.0,4.0,43.927149368627546,10.084404173367727,0.22957110393714586,1.0325830939005998,1.892965348410461,4.836378918207123
247540,2019-04-12,,,,,0.0,7.0,5.0,4.0,43.27437186804265,9.93454532193312,0.22957110393714586,1.0325830939005998,1.892965348410461,4.788879205158352
247540,2019-04-13,,,,,0.0,7.0,5.0,4.0,43.27437186804265,9.93454532193312,0.22957110393714586,1.0325830939005998,1.892965348410461,4.788879205158352
247540,2019-04-14,0.0373,3.0,0.0,0.413,1.0,7.0,5.0,4.0,43.27437186804265,9.93454532193312,0.22957110393714586,1.0325830939005998,1.892965348410461,4.788879205158352
247540,2019-04-15,,,,,0.0,7.0,5.0,4.0,41.89717055583306,9.618379696345476,0.22957110393714586,1.0325830939005998,1.892965348410461,4.688666395921311
247540,2019-04-16,,,,,0.0,7.0,5.0,4.0,41.04272195750648,9.4222229883701,0.22957110393714586,1.0325830939005998,1.892965348410461,4.626491974776172
247540,2019-04-17,,,,,0.0,7.0,5.0,4.0,41.30542509798577,9.482532038337684,0.22957110393714586,1.0325830939005998,1.892965348410461,4.6456077129543365
247540,2019-04-18,0.0,3.0,0.0,0.0588,1.0,7.0,5.0,4.0,41.30542509798577,9.482532038337684,0.22957110393714586,1.0325830939005998,1.892965348410461,4.6456077129543365
247540,2019-04-19,,,,,0.0,7.0,5.0,4.0,41.501789061576346,9.527611530232647,0.22957110393714586,1.0325830939005998,1.892965348410461,4.659896244521852
247540,2019-04-20,,,,,0.0,7.0,5.0,4.0,41.501789061576346,9.527611530232647,0.22957110393714586,1.0325830939005998,1.892965348410461,4.659896244521852
247540,2019-04-21,,,,,0.0,7.0,5.0,4.0,41.501789061576346,9.527611530232647,0.22957110393714586,1.0325830939005998,1.892965348410461,4.659896244521852
247540,2019-04-22,,,,,0.0,7.0,5.0,4.0,42.28989848301421,9.708538680135403,0.22957110393714586,1.0325830939005998,1.892965348410461,4.717243459056344
247540,2019-04-23,0.9998,6.0,0.0,0.0286,1.0,7.0,5.0,4.0,41.89717055583306,9.618379696345476,0.22957110393714586,1.0325830939005998,1.892965348410461,4.688666395921311
