Code,DelistingDate,ListingDate,ListingDateSource,Market,Name,SecuGroup,SnapshotDate,Source,IsDelisted
000380,2004-10-21,1993-07-30,FDR_DELISTING,KOSDAQ,대아건설,주권,2026-09-06,KRX-DELISTING,True
000390,,1993-09-10,FDR_DESC,KOSPI,SP삼화,주권,2026-09-06,KOSPI-DESC,False
000400,,1971-04-16,FDR_DESC,KOSPI,롯데손해보험,주권,2026-09-06,KOSPI-DESC,False
000420,2015-02-24,1988-08-05,FDR_DELISTING,KOSPI,로케트전기,주권,2026-09-06,KRX-DELISTING,True
000425,2015-02-24,1989-09-23,FDR_DELISTING,KOSPI,로케트전우,주권,2026-09-06,KRX-DELISTING,True
000430,,1977-06-22,FDR_DESC,KOSPI,대원강업,주권,2026-09-06,KOSPI-DESC,False
000440,,1993-03-24,FDR_DESC,KOSDAQ,중앙에너비스,주권,2026-09-06,KOSDAQ-DESC,False
000450,1998-11-18,1989-03-08,FDR_DELISTING,KOSPI,한주통산,주권,2026-09-06,KRX-DELISTING,True
000470,2012-07-16,1975-06-30,FDR_DELISTING,KOSPI,그린손해보험,주권,2026-09-06,KRX-DELISTING,True
000475,2002-02-08,1990-01-05,FDR_DELISTING,KOSPI,국제화재(1우),주권,2026-09-06,KRX-DELISTING,True
000480,,1978-06-30,FDR_DESC,KOSPI,CR홀딩스,주권,2026-09-06,KOSPI-DESC,False
000490,,1975-06-27,FDR_DESC,KOSPI,대동,주권,2026-09-06,KOSPI-DESC,False
0004V0,,2026-01-14,FDR_DESC,KOSDAQ,엔비알모션,주권,2026-09-06,KOSDAQ-DESC,False
0004Y0,,2025-07-22,FDR_DESC,KOSDAQ,디비금융제14호스팩,주권,2026-09-06,KOSDAQ-DESC,False
000500,,1987-06-08,FDR_DESC,KOSPI,가온전선,주권,2026-09-06,KOSPI-DESC,False
000510,1999-05-25,1974-06-28,FDR_DELISTING,KOSPI,태    화,주권,2026-09-06,KRX-DELISTING,True
000520,,1985-05-29,FDR_DESC,KOSPI,삼일제약,주권,2026-09-06,KOSPI-DESC,False
000530,1997-07-10,1996-07-01,FDR_DELISTING,KOSDAQ,대한제지,주권,2026-09-06,KRX-DELISTING,True
000540,,1974-12-05,FDR_DESC,KOSPI,흥국화재,주권,2026-09-06,KOSPI-DESC,False
000545,,2014-06-17,FDR_FIRST_TRADE,KOSPI,흥국화재우,주권,2026-09-06,KOSPI-DESC,False
000547,2023-07-17,1999-08-09,FDR_DELISTING,KOSPI,흥국화재2우B,주권,2026-09-06,KRX-DELISTING,True
000550,1997-07-10,1996-07-01,FDR_DELISTING,KOSDAQ,삼덕제지,주권,2026-09-06,KRX-DELISTING,True
000570,1999-03-22,1975-12-27,FDR_DELISTING,KOSPI,금호건설,주권,2026-09-06,KRX-DELISTING,True
000590,,1975-12-22,FDR_DESC,KOSPI,CS홀딩스,주권,2026-09-06,KOSPI-DESC,False
000600,1997-01-01,1996-07-01,FDR_DELISTING,KOSDAQ,삼화실업,주권,2026-09-06,KRX-DELISTING,True
000610,2010-01-20,1976-06-05,FDR_DELISTING,KOSPI,제일화재,주권,2026-09-06,KRX-DELISTING,True
000640,,1970-02-10,FDR_DESC,KOSPI,동아쏘시오홀딩스,주권,2026-09-06,KOSPI-DESC,False
000645,1976-04-22,1970-02-10,FDR_DELISTING,KOSPI,동아제약우,주권,2026-09-06,KRX-DELISTING,True
000650,,1977-06-23,FDR_DESC,KOSPI,천일고속,주권,2026-09-06,KOSPI-DESC,False
000660,,1996-12-26,FDR_DESC,KOSPI,SK하이닉스,주권,2026-09-06,KOSPI-DESC,False
000670,,1976-06-12,FDR_DESC,KOSPI,영풍,주권,2026-09-06,KOSPI-DESC,False
000680,,1973-11-15,FDR_DESC,KOSPI,LS네트웍스,주권,2026-09-06,KOSPI-DESC,False
000685,2014-07-15,1994-09-22,FDR_DELISTING,KOSPI,LS네트웍스우,주권,2026-09-06,KRX-DELISTING,True
000687,2015-11-26,2010-12-01,FDR_DELISTING,KOSPI,LS네트웍스전환상환2우B,주권,2026-09-06,KRX-DELISTING,True
000700,,1956-03-03,FDR_DESC,KOSPI,유수홀딩스,주권,2026-09-06,KOSPI-DESC,False
000720,,1984-12-22,FDR_DESC,KOSPI,현대건설,주권,2026-09-06,KOSPI-DESC,False
000725,,2014-06-17,FDR_FIRST_TRADE,KOSPI,현대건설우,주권,2026-09-06,KOSPI-DESC,False
000730,1995-05-25,1969-02-07,FDR_DELISTING,KOSPI,서울교통,주권,2026-09-06,KRX-DELISTING,True
000760,,1994-04-29,FDR_DESC,KOSPI,이화산업,주권,2026-09-06,KOSPI-DESC,False
000790,2009-05-13,1977-11-09,FDR_DELISTING,KOSPI,C&상선,주권,2026-09-06,KRX-DELISTING,True
000795,1989-03-27,1977-11-09,FDR_DELISTING,KOSPI,세양선박우,주권,2026-09-06,KRX-DELISTING,True
0007C0,,2025-12-16,FDR_DESC,KOSDAQ,아크릴,주권,2026-09-06,KOSDAQ-DESC,False
0007J0,,2026-04-02,FDR_DESC,KOSDAQ,인벤테라,주권,2026-09-06,KOSDAQ-DESC,False
000800,2015-04-15,1973-02-12,FDR_DELISTING,KOSPI,경남기업,주권,2026-09-06,KRX-DELISTING,True
000805,2006-04-28,2003-01-02,FDR_DELISTING,KOSPI,경남기업(1우B),주권,2026-09-06,KRX-DELISTING,True
000810,,1975-06-30,FDR_DESC,KOSPI,삼성화재,주권,2026-09-06,KOSPI-DESC,False
000815,,2014-06-17,FDR_FIRST_TRADE,KOSPI,삼성화재우,주권,2026-09-06,KOSPI-DESC,False
000830,2015-09-15,1975-12-12,FDR_DELISTING,KOSPI,삼성물산,주권,2026-09-06,KRX-DELISTING,True
000835,2015-09-15,1989-07-24,FDR_DELISTING,KOSPI,삼성물산우,주권,2026-09-06,KRX-DELISTING,True
000840,2000-06-30,1988-10-13,FDR_DELISTING,KOSPI,한국벨트,주권,2026-09-06,KRX-DELISTING,True
000850,,1999-11-18,FDR_DESC,KOSPI,화천기공,주권,2026-09-06,KOSPI-DESC,False
000860,,1975-11-12,FDR_DESC,KOSPI,강남제비스코,주권,2026-09-06,KOSPI-DESC,False
000870,1999-01-15,1996-07-01,FDR_DELISTING,KOSDAQ,전진산업,주권,2026-09-06,KRX-DELISTING,True
000880,,1976-06-24,FDR_DESC,KOSPI,한화,주권,2026-09-06,KOSPI-DESC,False
000885,2025-07-15,1990-01-22,FDR_DELISTING,KOSPI,한화우,주권,2026-09-06,KRX-DELISTING,True
000887,2004-03-23,1999-02-01,FDR_DELISTING,KOSPI,한화(2우B),주권,2026-09-06,KRX-DELISTING,True
00088K,,2016-10-19,FDR_FIRST_TRADE,KOSPI,한화3우B,주권,2026-09-06,KOSPI-DESC,False
000890,,1988-09-23,FDR_DESC,KOSPI,보해양조,주권,2026-09-06,KOSPI-DESC,False
000895,2015-07-15,1994-11-22,FDR_DELISTING,KOSPI,보해양조우,주권,2026-09-06,KRX-DELISTING,True
0008Z0,,2025-08-19,FDR_DESC,KOSDAQ,에스엔시스,주권,2026-09-06,KOSDAQ-DESC,False
000900,2000-04-12,1976-03-05,FDR_DELISTING,KOSPI,강원산업,주권,2026-09-06,KRX-DELISTING,True
000905,2000-04-12,1989-07-20,FDR_DELISTING,KOSPI,강원산업(1우),주권,2026-09-06,KRX-DELISTING,True
000910,,1996-07-03,FDR_DESC,KOSPI,유니온,주권,2026-09-06,KOSPI-DESC,False
000930,1999-01-04,1973-08-08,FDR_DELISTING,KOSPI,한화기계,주권,2026-09-06,KRX-DELISTING,True
000935,1976-04-01,1973-08-08,FDR_DELISTING,KOSPI,한화기계우,주권,2026-09-06,KRX-DELISTING,True
000950,,1968-10-21,FDR_DESC,KOSPI,전방,주권,2026-09-06,KOSPI-DESC,False
000970,,1969-12-12,FDR_DESC,KOSPI,한국주철관,주권,2026-09-06,KOSPI-DESC,False
000980,2003-10-15,1976-12-13,FDR_DELISTING,KOSPI,극동건설,주권,2026-09-06,KRX-DELISTING,True
000985,2003-10-15,1990-01-09,FDR_DELISTING,KOSPI,극동건설(1우),주권,2026-09-06,KRX-DELISTING,True
